candidate_id,tweet_id,thread_id,customer_id,target_message,human_gold_label,human_notes
CAND_0001,1855971,1855971,555149,"@SpotifyCares Hey, a song of mine was recently released on a label and it created a duplicate artist page. How can I get it on my main?",ARTIST_SUPPORT,
CAND_0002,2669338,2669338,751817,"@125633 I have been trying to gain control of my artist Lola spikes profile on Spotify since March to change the profile picture from album to her selfie pic, Can you help?",ARTIST_SUPPORT,
CAND_0003,1398598,1398598,445238,@SpotifyCares please merge the GORD DOWNIE and GORDON GOWNIE artist profiles,ARTIST_SUPPORT,
CAND_0004,1993429,1993429,589946,@125633 guys my artist page is locking me out and i can't get in!! Also releases aren't showing up!!!!,ARTIST_SUPPORT,
CAND_0005,800191,800191,198507,Why tf is my single under another artist page -__- Wtf @115888,ARTIST_SUPPORT,
CAND_0006,1161814,1161814,393336,@SpotifyCares i have a verified artist page that i have no access to at all... how can i get into this?,ARTIST_SUPPORT,
CAND_0007,672187,672187,280368,@SpotifyCares I've emailed regarding adding a pic to my artist page! I've had no response,ARTIST_SUPPORT,
CAND_0008,2246055,2246055,654609,@115888 as an artist who do we contact at spotify to get them to separate an artist profile/identity from another artists w/the same name?,ARTIST_SUPPORT,is artist support but user is also asking how to type question
CAND_0009,1988904,1988904,588654,"@SpotifyCares one of my albums I'd accidentally listed under ""singles"" on my artist page. How can I fix that?",ARTIST_SUPPORT,
CAND_0010,1466241,1466241,460329,@SpotifyCares i've been trying to contact Spotify for weeks about an album that is incorrectly attributed to my artist page please help ASAP,ARTIST_SUPPORT,
CAND_0011,770810,770810,304080,"@115888 Ive sent an artist separation request 2 weeks ago,Please move my track to my artist profile so I can share my music #SpotifySingles",ARTIST_SUPPORT,
CAND_0012,776162,776163,305457,"@SpotifyCares Used CDBaby to distribute with you.They say it's been delivered to you, but it's not up on our artist page yet. Any ideas? Release date 2day",ARTIST_SUPPORT,
CAND_0013,539176,539176,245020,"@SpotifyCares Is it at all possible to get ""Satie: Vexations (840 Times)"" to be removed from Erik Satie's Artist page? It's a joke, I know, but it's really annoying to have to scroll so far to get to any of his other music. It's the same song literally 840 times.",FEATURE_FEEDBACK,"this might be confusing at first if it’s artist support question but the user is suggesting changes, might also confusewith app_tech"
CAND_0014,2052421,2052421,606978,"@SpotifyCares  Report Albums 

On the Heathen artist page: https://t.co/aFV6iSa3yJ there is a mistplaced album.",CONTENT_CATALOG,
CAND_0015,622817,622817,267829,May I ask why Dan Black has two different artist profiles? @115888 @SpotifyCares,CONTENT_CATALOG,
