candidate_id,tweet_id,thread_id,customer_id,target_message,preceding_context,provisional_intent,boundary_tags,rule_coverage_tags,representative_or_targeted,context_dependent,unknown_subtype,thread_length,target_message_length,selection_reason,review_notes,is_fanout_thread
CAND_0001,1855971,1855971,555149,"@SpotifyCares Hey, a song of mine was recently released on a label and it created a duplicate artist page. How can I get it on my main?",,ARTIST_SUPPORT,,artist_profile_metadata,targeted,False,,2,135,duplicate artist page created after label release; ownership/merge workflow,,False
CAND_0002,2669338,2669338,751817,"@125633 I have been trying to gain control of my artist Lola spikes profile on Spotify since March to change the profile picture from album to her selfie pic, Can you help?",,ARTIST_SUPPORT,,artist_profile_metadata,targeted,False,,4,172,creator trying to gain control of own artist profile to change picture,,False
CAND_0003,1398598,1398598,445238,@SpotifyCares please merge the GORD DOWNIE and GORDON GOWNIE artist profiles,,ARTIST_SUPPORT,,artist_profile_metadata,targeted,False,,2,76,explicit request to merge two artist profiles referring to the same person (band-name/identity collision),,False
CAND_0004,1993429,1993429,589946,@125633 guys my artist page is locking me out and i can't get in!! Also releases aren't showing up!!!!,,ARTIST_SUPPORT,,artist_profile_metadata,targeted,False,,2,102,locked out of own artist page; releases not showing -- creator-side access + release visibility,,False
CAND_0005,800191,800191,198507,Why tf is my single under another artist page -__- Wtf @115888,,ARTIST_SUPPORT,,artist_profile_metadata,targeted,False,,2,62,creator reporting own single misattributed to another artist page,"QA: boundary=F tag removed -- message says 'my single', not genuinely ambiguous creator-vs-listener framing.",False
CAND_0006,1161814,1161814,393336,@SpotifyCares i have a verified artist page that i have no access to at all... how can i get into this?,,ARTIST_SUPPORT,,artist_profile_metadata,targeted,False,,8,103,verified artist page with no access at all -- creator-side access issue,,False
CAND_0007,672187,672187,280368,@SpotifyCares I've emailed regarding adding a pic to my artist page! I've had no response,,ARTIST_SUPPORT,,artist_profile_metadata,targeted,False,,6,89,"creator emailed about adding a picture to own artist page, no response",,False
CAND_0008,2246055,2246055,654609,@115888 as an artist who do we contact at spotify to get them to separate an artist profile/identity from another artists w/the same name?,,ARTIST_SUPPORT,,artist_profile_metadata,targeted,False,,2,138,artist asking how to separate their profile/identity from another artist with the same name (band-name collision),"QA: boundary=F tag removed -- message explicitly says 'as an artist', not genuinely ambiguous.",False
CAND_0009,1988904,1988904,588654,"@SpotifyCares one of my albums I'd accidentally listed under ""singles"" on my artist page. How can I fix that?",,ARTIST_SUPPORT,,artist_profile_metadata,targeted,False,,4,109,creator's own album miscategorized (album listed as single) on their artist page,,False
CAND_0010,1466241,1466241,460329,@SpotifyCares i've been trying to contact Spotify for weeks about an album that is incorrectly attributed to my artist page please help ASAP,,ARTIST_SUPPORT,,artist_profile_metadata,targeted,False,,2,140,"creator reporting an album incorrectly attributed to their own artist page, urgent",,False
