golden_tweet_id,golden_customer_text,rank,similarity_score,retrieved_customer_tweet_id,retrieved_customer_text,retrieved_brand_tweet_id,retrieved_brand_text_raw,retrieved_thread_id,same_issue_yes_no,same_issue_notes,response_type,would_agent_use_as_evidence,similarity_correlates_with_usefulness_notes
2787996,@SpotifyCares Hi guys! I am unable to access into my account and the screen says that I've been abroad for 14 days. What can I do to recover my account? Thanks.,1,0.8017,2198156,@SpotifyCares I logged out of my acc and when I went to log in again it said I couldn't because I can only use abroad 14 days? I'm home now?,2198155,@642974 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,2198156,,,,,
2787996,@SpotifyCares Hi guys! I am unable to access into my account and the screen says that I've been abroad for 14 days. What can I do to recover my account? Thanks.,2,0.7426,1904264,Hi @SpotifyCares I can’t seem to be able to log in with my Facebook. It keeps saying I can only use it abroad for 14 days and I’m not abroad,1904263,@567480 Hey there! We've come to the rescue. Could you DM us your account's email address/username? We'll check behind the scenes /RE https://t.co/ldFdZRiNAt,1904264,,,,,
2787996,@SpotifyCares Hi guys! I am unable to access into my account and the screen says that I've been abroad for 14 days. What can I do to recover my account? Thanks.,3,0.7043,2056393,"@SpotifyCares hey switched phones and now won't let me login saying that I'm abroad when I'm not, also I have premium",2056392,@608158 Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage /QI https://t.co/ldFdZR1cbT,2056393,,,,,
2787996,@SpotifyCares Hi guys! I am unable to access into my account and the screen says that I've been abroad for 14 days. What can I do to recover my account? Thanks.,4,0.6973,1931434,@SpotifyCares hey guys. How can I access my premium account when I've lost password &amp; don't have that email anymore? need in urgently!! :),1931433,"@574760 Hey, help's here! Could you send us a DM with your account's username and email address? We'll see what we can suggest /NJ https://t.co/ldFdZRiNAt",1931434,,,,,
2787996,@SpotifyCares Hi guys! I am unable to access into my account and the screen says that I've been abroad for 14 days. What can I do to recover my account? Thanks.,5,0.691,118851,@SpotifyCares hey there I cannot log back into my account please can you help xx,118849,@142349 Hey there! Can you DM us your account's email address or username? We'll see what we can suggest /RH https://t.co/ldFdZRiNAt,118851,,,,,
2641113,@115888 your security is BS some French guy hacked my account and changed my plan to add his own. I’m seeing this a lot...,1,0.6532,1757043,@115888 my account has been hacked! https://t.co/blVdIIweCA,1757044,"@529029 1: Hey Amanda! We're sorry to hear this, and we'd recommend deleting your previous tweet since it contains personal account info.",1757043,,,,,
2641113,@115888 your security is BS some French guy hacked my account and changed my plan to add his own. I’m seeing this a lot...,2,0.6264,1605201,@115888 I’m trying to sign up for premium and I don’t speak French. I think someone set up an account using my email address. Help https://t.co/p2TTuZBqZW,1605200,"@492421 Hi there. Don't worry, we'll look into this. Can you DM us your email address so we can check? /JU https://t.co/ldFdZRiNAt",1605201,,,,,
2641113,@115888 your security is BS some French guy hacked my account and changed my plan to add his own. I’m seeing this a lot...,3,0.6127,2444267,I think my damn @115888 account was hacked... Tf,2444266,@462676 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,2444267,,,,,
2641113,@115888 your security is BS some French guy hacked my account and changed my plan to add his own. I’m seeing this a lot...,4,0.6114,724038,@115888 Turns out my account got hacked and upgraded to family... and 5 random accounts were using it for free 🤦‍♂️,732215,"@293391 Are you still having this issue? If so, can you shoot us a DM? We'll be right here waiting /MV",724037,,,,,
2641113,@115888 your security is BS some French guy hacked my account and changed my plan to add his own. I’m seeing this a lot...,5,0.6014,2165556,@116130 my account has been hacked and I have had my subscription changed to family and had 5 random people added to it &amp; all my playlists gone. Help!,2165555,"@635613 Hey Terri, we’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next /JN",2165556,,,,,
