candidate_id,tweet_id,ai_label,ai_reasoning,ai_confidence
CAND_0001,1855971,ARTIST_SUPPORT,ARTIST_SUPPORT — duplicate artist page created after label release; ownership/merge workflow.,HIGH
CAND_0002,2669338,ARTIST_SUPPORT,ARTIST_SUPPORT — creator trying to gain control of own artist profile to change picture.,HIGH
CAND_0003,1398598,ARTIST_SUPPORT,ARTIST_SUPPORT — explicit request to merge two artist profiles referring to the same person (band-name/identity collision).,HIGH
CAND_0004,1993429,ARTIST_SUPPORT,ARTIST_SUPPORT — locked out of own artist page; releases not showing -- creator-side access + release visibility.,HIGH
CAND_0005,800191,ARTIST_SUPPORT,"ARTIST_SUPPORT — creator reporting own single misattributed to another artist page. . Message says 'my single', not genuinely ambiguous creator-vs-listener framing.",HIGH
CAND_0006,1161814,ARTIST_SUPPORT,ARTIST_SUPPORT — verified artist page with no access at all -- creator-side access issue.,HIGH
CAND_0007,672187,ARTIST_SUPPORT,"ARTIST_SUPPORT — creator emailed about adding a picture to own artist page, no response.",HIGH
CAND_0008,2246055,ARTIST_SUPPORT,"ARTIST_SUPPORT — artist asking how to separate their profile/identity from another artist with the same name (band-name collision). . Message explicitly says 'as an artist', not genuinely ambiguous.",HIGH
CAND_0009,1988904,ARTIST_SUPPORT,ARTIST_SUPPORT — creator's own album miscategorized (album listed as single) on their artist page.,HIGH
CAND_0010,1466241,ARTIST_SUPPORT,"ARTIST_SUPPORT — creator reporting an album incorrectly attributed to their own artist page, urgent.",HIGH
CAND_0011,770810,ARTIST_SUPPORT,ARTIST_SUPPORT — artist separation request submitted; asking to move track to correct artist profile.,HIGH
CAND_0012,776162,ARTIST_SUPPORT,ARTIST_SUPPORT — distributor (CDBaby) delivered release but not showing on creator's artist page -- distributor/release workflow.,HIGH
CAND_0013,539176,FEATURE_FEEDBACK,"FEATURE_FEEDBACK — listener wants a specific (joke) track removed from an artist's page -- listener-perspective, not creator-side. customer wants a specific track delisted/reordered for browsing convenience, not because it is missing/wrong -- matches the guide's 'new way to browse/manage content' -> FEATURE_FEEDBACK rule. (Competing intent considered: ARTIST_SUPPORT, CONTENT_CATALOG.)",MEDIUM
CAND_0014,2052421,CONTENT_CATALOG,"CONTENT_CATALOG — listener reporting a misplaced album on an artist's page -- catalog/metadata report, not creator-side management. (Competing intent considered: ARTIST_SUPPORT.)",MEDIUM
