"# guide_assessment is an audit opinion against the current guide, not a new gold label.",The existing_human_label column is the only authoritative label.,,,,,,,
example_id,tweet_id,existing_human_label,guide_assessment,status,basis_tier,rule_reference,notes,material_to_baseline
1,2565911,SUBSCRIPTION_BILLING,FEATURE_FEEDBACK,POSSIBLE,GUIDE_RULE_GENERAL,SUBSCRIPTION_BILLING 'Do NOT use this when' list: 'The customer is requesting Spotify change its pricing policy -> FEATURE_FEEDBACK',"Message complains about the Premium-to-Family upgrade mechanism ('sneakily trying to get customers off...have to cancel account first') with no disputed charge stated -- reads as a policy complaint, not a billing dispute. Genuinely ambiguous since the message doesn't cleanly match either rule's worked examples.",no: one flip within a 33-example class (SUBSCRIPTION_BILLING)
2,2912378,UNKNOWN_OTHER,GENERAL_HOW_TO_INFO,POSSIBLE,GUIDE_WORKED_EXAMPLE,"UNKNOWN_OTHER negative examples (post-golden clarification): a short question naming a specific, concrete topic (e.g. 'You work with Alexa, right??' -> GENERAL_HOW_TO_INFO) is classifiable, not UNKNOWN","'when are the presale emails being sent out for billie eilish' names a concrete, answerable topic (presale email timing) rather than being pure chatter; the guide's own post-golden negative example is structurally similar. Genuine ambiguity remains since this could also be read as off-topic fan chatter, which is how it was originally labeled.",no: one flip within a 64-example class (UNKNOWN_OTHER)
3,2364839,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 3 in SUBSCRIPTION_BILLING positive examples (line 156), stating it as SUBSCRIPTION_BILLING",Guide directly cites this example by number.,
4,1816155,GENERAL_HOW_TO_INFO,GENERAL_HOW_TO_INFO,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
5,1914386,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 5 in UNKNOWN_OTHER diagnostic flags (irrelevant/off-topic) (line 407), stating it as UNKNOWN_OTHER",Guide directly cites this example by number.,
6,1159704,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
7,1634011,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 7 in ACCOUNT_ACCESS near-miss examples (line 116), stating it as SUBSCRIPTION_BILLING; also cited consistently in 2 other place(s)",Guide directly cites this example by number.,
8,1084530,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 8 in APP_TECH_ISSUE positive examples (line 199), stating it as APP_TECH_ISSUE; also cited consistently in 1 other place(s)",Guide directly cites this example by number.,
9,2338873,CONTENT_CATALOG,CONTENT_CATALOG,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
10,1860898,ARTIST_SUPPORT,ARTIST_SUPPORT,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 10 in ARTIST_SUPPORT positive examples (line 331), stating it as ARTIST_SUPPORT",Guide directly cites this example by number.,
11,1269745,ACCOUNT_ACCESS,ACCOUNT_ACCESS,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 11 in ACCOUNT_ACCESS positive examples (line 108), stating it as ACCOUNT_ACCESS; also cited consistently in 1 other place(s)",Guide directly cites this example by number.,
12,1815772,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
13,1485930,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
